iter	Passed	Remaining
0	1	100
1	1	93
2	2	93
3	3	89
4	4	89
5	5	87
6	6	86
7	7	86
8	8	84
9	9	83
10	10	81
11	10	79
12	11	77
13	12	76
14	13	75
15	14	73
16	14	72
17	15	71
18	16	71
19	17	71
20	18	70
21	19	69
22	20	68
23	21	67
24	22	66
25	23	65
26	23	64
27	24	64
28	25	62
29	26	62
30	27	61
31	28	60
32	29	59
33	30	58
34	31	57
35	32	57
36	33	56
37	33	55
38	34	54
39	35	53
40	36	52
41	36	50
42	37	49
43	38	49
44	39	48
45	40	47
46	41	46
47	42	45
48	42	44
49	43	43
50	44	42
51	45	42
52	46	41
53	47	40
54	48	39
55	49	38
56	50	38
57	51	37
58	52	36
59	53	35
60	54	34
61	55	33
62	56	33
63	57	32
64	57	31
65	58	30
66	59	29
67	60	28
68	61	27
69	62	26
70	63	25
71	64	25
72	65	24
73	66	23
74	67	22
75	68	21
76	69	20
77	70	19
78	70	18
79	71	17
80	72	17
81	73	16
82	74	15
83	75	14
84	76	13
85	77	12
86	78	11
87	78	10
88	79	9
89	80	8
90	81	8
91	82	7
92	83	6
93	84	5
94	85	4
95	85	3
96	86	2
97	87	1
98	88	0
99	88	0
